,anchor,host_name,IP,avg_rtt,min_rtt,max_rtt,latitude,longitude,distance,location
,IN-V2-198,iisc.ac.in,13.71.49.222,27.811,27.627,27.996,18.50423,73.85286,15,Pune
,IN-V2-249,iisc.ac.in,10.100.100.100,0.916,0.91,0.922,12.929649,77.622468,1,Bengaluru
,IN-V2-249,iisc.ac.in,192.168.1.1,1.601,1.522,1.68,null,null,2,null
,IN-V2-249,iisc.ac.in,103.176.234.97,2.876,2.681,3.071,12.98498,77.588,3,Bangalore
,IN-V2-249,iisc.ac.in,103.77.108.26,19.928,14.936,24.921,19.14045,72.88234,4,Mumbai
,IN-V2-249,iisc.ac.in,13.71.49.222,17.31,17.213,17.407,18.50423,73.85286,13,Pune
,IN-V2-164,iisc.ac.in,192.168.9.254,0.247,0.226,0.268,8.5241391,76.9366376,1,Thiruvananthapuram
,IN-V2-164,iisc.ac.in,10.219.29.41,2.683,2.471,2.895,null,null,3,null
,IN-V2-164,iisc.ac.in,10.219.29.42,3.463,3.265,3.661,null,null,4,null
,IN-V2-164,iisc.ac.in,104.44.12.126,21.423,20.724,22.123,13.08362,80.28252,14,Chennai
,IN-V2-164,iisc.ac.in,13.71.49.222,33.499,33.481,33.517,18.50423,73.85286,24,Pune
,IN-V2-134,iisc.ac.in,192.168.1.1,0.846,0.748,0.944,12.8630352,77.4379779,1,Bengaluru
,IN-V2-134,iisc.ac.in,223.178.56.1,5.365,4.939,5.792,12.97431,77.58908,2,Bangalore
,IN-V2-134,iisc.ac.in,122.187.95.97,5.722,5.45,5.993,12.9716,77.59456,3,Bangalore
,IN-V2-134,iisc.ac.in,51.10.44.158,10.675,9.413,11.936,13.08362,80.28252,6,Chennai
,IN-V2-134,iisc.ac.in,13.71.49.222,27.64,27.243,28.037,18.50423,73.85286,15,Pune
,IN-V2-208,iisc.ac.in,192.168.0.1,0.494,0.477,0.511,13.0569467,80.242469,1,Chennai
,IN-V2-208,iisc.ac.in,10.209.0.1,1.215,1.17,1.261,null,null,2,null
,IN-V2-208,iisc.ac.in,104.44.23.255,15.456,15.456,15.456,13.08362,80.28252,7,Chennai
,IN-V2-208,iisc.ac.in,104.44.22.22,14.921,14.759,15.084,19.14045,72.88234,9,Mumbai
,IN-V2-208,iisc.ac.in,13.71.49.222,17.838,17.699,17.978,18.50423,73.85286,14,Pune
,IN-V2-249,108.117.11.94,10.100.100.100,1.003,0.967,1.04,12.929649,77.622468,1,Bengaluru
,IN-V2-249,108.117.11.94,192.168.1.1,1.547,1.43,1.665,null,null,2,null
,IN-V2-249,108.117.11.94,103.176.234.97,3.374,3.07,3.679,12.98498,77.588,3,Bangalore
,IN-V2-249,108.117.11.94,43.225.27.85,28.81,28.81,28.81,20.59368,78.96288,4,Hyderabad
,IN-V2-249,108.117.11.94,154.206.27.249,4.716,3.406,6.026,28.63089,77.21695,5,Delhi
,IN-V2-249,108.117.11.94,154.210.186.208,2.242,2.214,2.269,28.63089,77.21695,6,Delhi
,IN-V2-249,108.117.11.94,115.117.125.241,3.736,2.921,4.551,12.9716,77.59456,7,Bangalore
,IN-V2-249,108.117.11.94,172.31.244.45,16.602,8.961,24.242,null,null,8,null
,IN-28,github.com,192.168.0.1,0.541,0.51,0.572,13.0826802,80.2707184,1,Chennai
,IN-39,github.com,192.168.5.100,0.974,0.917,1.03,11.9415915,79.8083133,1,Puducherry
,IN-31,github.com,192.168.0.2,0.683,0.678,0.687,11.07779105,76.98987909,1,Coimbatore
,IN-V2-198,github.com,192.168.1.1,0.542,0.489,0.595,13.02136804,77.75943871,1,Bengaluru
,IN-V2-249,github.com,10.100.100.100,0.983,0.933,1.034,12.929649,77.622468,1,Bengaluru
,IN-V2-164,github.com,192.168.9.254,0.234,0.223,0.246,8.5241391,76.9366376,1,Thiruvananthapuram
,IN-V2-134,github.com,192.168.1.1,0.689,0.584,0.795,12.8630352,77.4379779,1,Bengaluru
,IN-V2-208,github.com,192.168.0.1,0.437,0.429,0.444,13.0569467,80.242469,1,Chennai
,IN-28,startupindia.gov.in,192.168.0.1,0.531,0.498,0.565,13.0826802,80.2707184,1,Chennai
,IN-39,startupindia.gov.in,192.168.5.100,0.991,0.925,1.058,11.9415915,79.8083133,1,Puducherry
,IN-31,startupindia.gov.in,192.168.0.2,0.719,0.715,0.723,11.07779105,76.98987909,1,Coimbatore
,IN-V2-198,startupindia.gov.in,192.168.1.1,0.491,0.413,0.568,13.02136804,77.75943871,1,Bengaluru
,IN-V2-249,startupindia.gov.in,10.100.100.100,0.92,0.897,0.944,12.929649,77.622468,1,Bengaluru
,IN-V2-164,startupindia.gov.in,192.168.9.254,0.239,0.231,0.246,8.5241391,76.9366376,1,Thiruvananthapuram
,IN-V2-134,startupindia.gov.in,192.168.1.1,0.842,0.74,0.944,12.8630352,77.4379779,1,Bengaluru
,IN-V2-208,startupindia.gov.in,192.168.0.1,0.445,0.403,0.486,13.0569467,80.242469,1,Chennai
,IN-2,nesac.gov.in,192.168.29.1,2.716,1.41,4.021,24.26854206,87.24865692,1,Dumka
,IN-13,nesac.gov.in,192.168.10.1,0.936,0.91,0.962,26.7231395,88.3960957,1,Siliguri
,IN-12,nesac.gov.in,192.168.10.1,0.865,0.861,0.87,22.0619697,88.0810686,1,Haldia
,IN-54,nesac.gov.in,192.168.0.1,1.497,1.45,1.544,25.590549,91.8878483,1,Shillong
,IN-67,nesac.gov.in,192.168.1.1,0.849,0.834,0.864,24.8420384,93.9409458,1,Imphal
,IN-V2-07,nesac.gov.in,192.168.29.1,0.884,0.813,0.955,22.6819879,88.4626431,1,Kolkata
,IN-V2-229,nesac.gov.in,192.168.7.1,0.725,0.692,0.758,22.4969825,88.3991579,1,Kolkata
,IN-V2-193,nesac.gov.in,10.230.244.1,0.52,0.516,0.524,22.5753931,88.4797903,1,New Town
,IN-V2-139,google.com,192.168.1.1,0.643,0.631,0.656,15.35993,75.1015343,1,Hubballi
,IN-V2-139,google.com,223.190.228.1,8.466,7.313,9.619,15.3585,75.1008,3,Hubballi
,IN-V2-139,google.com,125.17.254.213,9.517,9.501,9.534,15.3602,75.103,4,Hubballi
,IN-V2-139,google.com,116.119.158.147,25.503,25.482,25.524,15.3578,75.1012,5,Hubballi
,IN-V2-139,google.com,72.14.197.10,22.578,21.543,23.613,15.3595,75.1028,6,Hubballi
,IN-V2-139,google.com,216.239.51.91,21.361,21.187,21.536,15.3605,75.1009,7,Hubballi
,IN-V2-139,google.com,142.250.239.228,25.184,24.843,25.524,15.3588,75.102,8,Hubballi
,IN-V2-139,google.com,72.14.232.50,38.75,37.722,39.778,15.3591,75.1011,9,Hubballi
,IN-V2-139,google.com,216.239.48.64,37.088,36.813,37.364,15.36,75.1023,10,Hubballi
,IN-V2-139,google.com,192.178.110.209,37.649,37.614,37.683,null,null,10,null
,IN-V2-139,google.com,142.251.69.103,37.486,37.457,37.515,null,null,11,null
,IN-V2-139,google.com,142.251.42.78,38.539,37.36,39.718,13.97545,80.9245,12,Chennai
,IN-V2-208,google.com,192.168.0.1,0.446,0.438,0.454,13.0569467,80.242469,1,Chennai
,IN-V2-208,google.com,72.14.212.80,1.395,1.371,1.419,37.4224,-122.08421,5,Mountain View
,IN-V2-208,google.com,216.239.43.137,2.149,2.137,2.161,37.4224,-122.08421,6,Mountain View
,IN-V2-208,google.com,142.250.62.66,1.752,1.717,1.787,13.08362,80.28252,7,Chennai
,IN-V2-208,google.com,64.233.174.3,5.199,1.368,9.031,13.08362,80.28252,8,Chennai
,IN-V2-208,google.com,142.251.49.232,26.691,26.684,26.699,19.14045,72.88234,9,Mumbai
,IN-V2-208,google.com,192.178.110.207,19.704,19.68,19.727,19.14045,72.88234,10,Mumbai
,IN-V2-208,google.com,142.251.69.103,25.207,25.162,25.253,19.14045,72.88234,11,Mumbai
,IN-V2-208,google.com,142.251.42.78,28.48,28.409,28.552,19.14045,72.88234,12,Mumbai
,IN-28,github.com,192.168.0.1,0.541,0.51,0.572,13.0829,80.271,1,Chennai
,IN-28,github.com,203.129.222.145,11.607,11.178,12.036,13.0838,80.2722,2,Chennai
,IN-28,github.com,203.193.158.20,23.679,23.514,23.844,13.0817,80.2695,3,Chennai
,IN-28,github.com,59.160.150.5,28.765,28.145,29.385,13.0825,80.2705,4,Chennai
,IN-28,github.com,121.241.155.242,27.945,27.945,27.945,13.0833,80.2718,5,Chennai
,IN-28,github.com,104.44.11.186,50.638,50.123,51.154,13.0842,80.2729,7,Chennai
,IN-28,github.com,20.207.73.82,47.63,47.526,47.734,13.0851,80.2735,12,Chennai
,IN-39,github.com,192.168.5.100,0.974,0.917,1.03,11.9415915,79.8083133,1,Puducherry
,IN-39,github.com,203.193.135.2,1.378,1.214,1.542,12.6755915,79.345133,2,Puducherry
,IN-39,github.com,136.232.208.209,66.531,8.477,124.584,13.755915,79.234133,3,Puducherry
,IN-39,github.com,172.16.5.182,19.418,8.776,30.06,null,null,4,null
,IN-39,github.com,172.16.5.182,8.268,8.157,8.379,null,null,5,null
,IN-39,github.com,20.207.73.82,29.397,29.206,29.589,null,null,16,null
,IN-31,github.com,192.168.0.2,0.683,0.678,0.687,11.0778,76.9899,1,Coimbatore
,IN-31,github.com,203.129.254.17,0.895,0.874,0.917,11.0781,76.9902,2,Coimbatore
,IN-31,github.com,59.144.62.33,2.325,2.243,2.407,11.0775,76.9895,3,Coimbatore
,IN-31,github.com,116.119.72.22,3.313,3.245,3.381,11.0779,76.99,4,Coimbatore
,IN-31,github.com,116.119.72.22,23.904,3.277,44.531,11.0782,76.9898,5,Coimbatore
,IN-31,github.com,51.10.44.158,17.468,17.468,17.468,11.0776,76.9896,8,Coimbatore
,IN-31,github.com,104.44.29.63,35.487,35.437,35.538,11.078,76.9901,11,Coimbatore
,IN-31,github.com,104.44.16.68,27.815,27.751,27.879,11.0777,76.9897,12,Coimbatore
,IN-31,github.com,104.44.11.186,28.094,27.137,29.051,null,null,13,null
,IN-31,github.com,20.207.73.82,34.142,34.097,34.187,null,null,18,null
,IN-V2-198,github.com,192.168.1.1,0.542,0.489,0.595,13.0215,77.7596,1,Bengaluru
,IN-V2-198,github.com,10.240.9.208,17.05,16.691,17.408,13.0212,77.7592,1,Bengaluru
,IN-V2-198,github.com,125.18.215.61,4.269,2.812,5.725,13.0216,77.7597,1,Bengaluru
,IN-V2-198,github.com,51.10.26.232,27.01,25.467,28.553,13.0214,77.7595,1,Bengaluru
,IN-V2-198,github.com,104.44.11.254,25.215,25.073,25.357,13.0213,77.7593,1,Bengaluru
,IN-V2-198,github.com,20.207.73.82,26.687,25.876,27.497,13.0217,77.7598,1,Bengaluru
,IN-V2-249,github.com,10.100.100.100,0.983,0.933,1.034,12.9297,77.6226,1,Bengaluru
,IN-V2-249,github.com,192.168.1.1,1.541,1.427,1.656,2.864,77.4385,2,Bengaluru
,IN-V2-249,github.com,103.176.234.97,4.921,4.467,5.374,12.865,77.439,3,Bengaluru
,IN-V2-249,github.com,103.77.108.26,15.005,14.889,15.121,12.866,77.44,4,Bengaluru
,IN-V2-249,github.com,104.44.11.250,17.695,17.465,17.925,12.9297,null,8,null
,IN-V2-249,github.com,20.207.73.82,17.727,17.646,17.809,12.9297,null,13,null
,IN-V2-164,github.com,192.168.9.254,0.234,0.223,0.246,8.5241391,76.9366376,1,Thiruvananthapuram
,IN-V2-164,github.com,103.121.26.101,0.802,0.69,0.915,0.526,76.938,3,Thiruvananthapuram
,IN-V2-164,github.com,121.244.53.25,1.574,1.531,1.617,8.527,76.939,4,Thiruvananthapuram
,IN-V2-164,github.com,172.25.138.2,22.498,22.498,22.498,8.528,76.94,5,Thiruvananthapuram
,IN-V2-164,github.com,121.241.155.242,29.258,21.971,36.545,8.529,76.941,7,Thiruvananthapur
,IN-V2-164,github.com,104.44.23.255,34.699,34.699,34.699,null,null,7,null
,IN-V2-164,github.com,104.44.20.46,42.373,41.979,42.766,null,null,10,null
,IN-V2-164,github.com,20.207.73.82,38.116,37.523,38.709,null,null,15,null
,IN-V2-134,github.com,192.168.1.1,0.689,0.584,0.795,12.8630352,77.4379779,1,Bengaluru
,IN-V2-134,github.com,223.178.56.1,5.186,4.767,5.605,null,null,2,null
,IN-V2-134,github.com,122.187.95.101,15.729,4.254,27.205,null,null,3,null
,IN-V2-134,github.com,182.79.142.222,10.282,9.608,10.956,null,null,4,null
,IN-V2-134,github.com,104.44.11.186,29.127,28.754,29.5,null,null,10,null
,IN-V2-134,github.com,20.207.73.82,28.667,27.606,29.728,null,null,15,null
,IN-V2-208,github.com,192.168.0.1,0.437,0.429,0.444,13.0569467,80.242469,1,Chennai
,IN-V2-208,github.com,104.44.47.11,27.763,10.208,45.318,null,null,5,null
,IN-V2-208,github.com,20.207.73.82,14.616,14.5,14.732,null,null,14,null
,IN-28,paytm.in,192.168.0.1,0.635,0.591,0.68,13.0826802,80.2707184,1,Chennai
,IN-28,paytm.in,203.129.222.145,12.183,12.13,12.237,null,null,2,null
,IN-28,paytm.in,203.193.158.20,23.513,23.293,23.733,null,null,3,null
,IN-28,paytm.in,59.160.150.5,28.178,27.642,28.713,null,null,4,null
,IN-28,paytm.in,172.25.191.201,50.439,50.438,50.44,null,null,5,null
,IN-39,paytm.in,192.168.5.100,1.006,0.969,1.044,11.9415915,79.8083133,1,Puducherry
,IN-39,paytm.in,203.193.135.2,1.464,1.298,1.631,null,null,2,null
,IN-39,paytm.in,136.232.208.209,79.29,9.515,149.065,null,null,3,null
,IN-39,paytm.in,172.31.2.75,27.578,27.519,27.638,null,null,4,null
,IN-31,paytm.in,192.168.0.2,0.739,0.718,0.76,11.07779105,76.98987909,1,Coimbatore
,IN-31,paytm.in,203.129.254.17,1.027,1.002,1.052,null,null,2,null
,IN-31,paytm.in,121.241.155.113,1.53,1.357,1.703,null,null,3,null
,IN-31,paytm.in,172.25.191.201,23.503,23.325,23.681,null,null,4,null
,IN-V2-198,paytm.in,192.168.1.1,0.486,0.417,0.554,13.02136804,77.75943871,1,Bengaluru
,IN-V2-198,paytm.in,10.240.9.208,10.78,4.083,17.477,12.89904,75.576571,2,Bengaluru
,IN-V2-198,paytm.in,125.18.215.61,4.28,3.152,5.409,13.02136804,77.75943871,4,Bengaluru
,IN-V2-198,paytm.in,116.119.57.73,22.413,21.518,23.307,null,null,5,null
,IN-V2-249,paytm.in,10.100.100.100,0.94,0.932,0.949,12.929649,77.622468,1,Bengaluru
,IN-V2-249,paytm.in,192.168.1.1,1.558,1.439,1.677,12.929649,77.622468,2,Bengaluru
,IN-V2-249,paytm.in,103.176.234.97,2.938,2.322,3.554,null,null,3,null
,IN-V2-249,paytm.in,103.176.234.137,3.071,3.061,3.081,12.929649,77.622468,4,Bengaluru
,IN-V2-249,paytm.in,182.78.39.165,4.399,4.379,4.418,12.5467,76.97597,5,Bengaluru
,IN-V2-249,paytm.in,116.119.50.12,22.07,21.85,22.29,null,null,6,null
,IN-V2-164,paytm.in,192.168.9.254,0.241,0.22,0.262,8.5241391,76.9366376,1,Thiruvananthapuram
,IN-V2-164,paytm.in,10.219.29.41,2.545,2.329,2.762,8.12341391,76.35676,3,Thiruvananthapuram
,IN-V2-164,paytm.in,10.219.29.42,3.79,3.59,3.991,8.5241391,76.9366376,4,Thiruvananthapuram
,IN-V2-164,paytm.in,49.44.187.180,45.442,44.451,46.434,null,null,9,null
,IN-V2-134,paytm.in,192.168.1.1,1.971,0.745,3.197,12.8630352,77.4379779,1,Bengaluru
,IN-V2-134,paytm.in,223.178.56.1,6.663,2.779,10.546,13.5678952,76.45679779,2,Bengaluru
,IN-V2-134,paytm.in,122.187.95.101,5.215,4.775,5.655,12.1234352,77.9997779,3,Bengaluru
,IN-V2-134,paytm.in,116.119.50.12,25.488,25.219,25.756,null,null,4,null
,IN-V2-208,paytm.in,192.168.0.1,0.416,0.406,0.426,13.0569467,80.242469,1,Chennai
,IN-V2-208,paytm.in,172.25.191.201,23.674,23.616,23.731,null,null,5,null
,IN-28,metro.in,192.168.0.1,0.589,0.584,0.593,13.0826802,80.2707184,1,Chennai
,IN-28,metro.in,203.129.222.145,11.822,11.759,11.884,13.0843,80.27046,2,Chennai
,IN-28,metro.in,203.193.158.20,23.998,23.336,24.659,13.0843,80.27046,3,Chennai
,IN-28,metro.in,59.160.150.5,34.679,28.143,41.215,23.01101,72.50292,4,Ahmedabad
,IN-28,metro.in,172.29.209.113,31.532,28.604,34.46,null,null,5,null
,IN-28,metro.in,14.141.123.226,28.984,28.785,29.184,13.0843,80.27046,6,Chennai
,IN-28,metro.in,180.87.37.33,27.886,27.795,27.977,13.08362,80.28252,7,Chennai
,IN-28,metro.in,180.87.36.5,237.128,237.093,237.164,13.08362,80.28252,8,Chennai
,IN-28,metro.in,180.87.151.41,236.43,236.43,236.43,35.6074,140.13437,13,Chiba
,IN-39,metro.in,192.168.5.100,1.49,0.911,2.069,11.9415915,79.8083133,1,Puducherry
,IN-39,metro.in,203.193.135.2,1.392,1.239,1.545,21.1458,79.08816,2,Nagpur
,IN-39,metro.in,136.232.208.209,8.625,8.612,8.638,13.0843,80.27046,3,Chennai
,IN-39,metro.in,172.16.5.85,63.487,9.914,117.06,null,null,4,null
,IN-39,metro.in,172.16.5.85,9.016,8.917,9.115,null,null,5,null
,IN-39,metro.in,103.198.140.170,9.509,9.371,9.647,1.29431,103.85322,8,Singapore
,IN-39,metro.in,49.45.4.103,216.281,216.28,216.281,34.05361,-118.2455,9,Los Angeles
,IN-31,metro.in,192.168.0.2,0.658,0.622,0.695,11.07779105,76.98987909,1,Coimbatore
,IN-31,metro.in,203.129.254.17,0.939,0.904,0.975,11.01685,76.95583,2,Coimbatore
,IN-31,metro.in,121.241.155.113,1.331,1.187,1.475,23.01101,72.50292,3,Ahmedabad
,IN-31,metro.in,172.31.167.58,16.221,16.053,16.39,null,null,4,null
,IN-31,metro.in,14.141.123.226,16.224,16.172,16.276,13.0843,80.27046,5,Chennai
,IN-31,metro.in,180.87.37.33,16.223,16.17,16.276,13.08362,80.28252,6,Chennai
,IN-31,metro.in,180.87.36.5,227.479,227.185,227.772,13.08362,80.28252,7,Chennai
,IN-31,metro.in,180.87.36.139,224.288,224.288,224.288,13.08362,80.28252,8,Chennai
,IN-31,metro.in,180.87.151.34,227.039,227.039,227.039,35.6074,140.13437,11,Chiba
,IN-V2-198,metro.in,192.168.1.1,0.518,0.413,0.623,13.02136804,77.75943871,1,Bengaluru
,IN-V2-198,metro.in,10.240.9.208,4.035,2.499,5.571,null,null,2,null
,IN-V2-198,metro.in,125.18.215.61,4.229,3.191,5.266,12.9716,77.59456,4,Bangalore
,IN-V2-198,metro.in,116.119.44.136,213.065,211.289,214.84,34.05361,-118.2455,5,Los Angeles
,IN-V2-249,metro.in,10.100.100.100,0.929,0.926,0.933,12.929649,77.622468,1,Bengaluru
,IN-V2-249,metro.in,192.168.1.1,1.536,1.448,1.624,null,null,2,null
,IN-V2-249,metro.in,103.176.234.97,2.629,2.4,2.858,12.98498,77.588,3,Bangalore
,IN-V2-249,metro.in,103.176.234.137,2.953,2.886,3.021,12.98498,77.588,4,Bangalore
,IN-V2-249,metro.in,182.78.39.165,4.345,4.238,4.452,12.91414,74.85596,5,Mangalore
,IN-V2-249,metro.in,116.119.112.98,228.03,208.81,247.25,34.05361,-118.2455,6,Los Angeles
,IN-V2-164,metro.in,192.168.9.254,0.261,0.226,0.296,8.5241391,76.9366376,1,Thiruvananthapuram
,IN-V2-164,metro.in,103.121.26.101,0.475,0.46,0.489,8.52414,76.93664,2,Thiruvananthapuram
,IN-V2-164,metro.in,121.244.53.25,1.353,1.188,1.518,9.93096,76.30028,3,Ernakulam
,IN-V2-164,metro.in,172.31.167.58,22.853,20.821,24.885,null,null,4,null
,IN-V2-164,metro.in,14.141.123.226,22.338,22.18,22.495,13.0843,80.27046,5,Chennai
,IN-V2-164,metro.in,180.87.37.33,23.089,22.192,23.986,13.08362,80.28252,6,Chennai
,IN-V2-164,metro.in,180.87.36.5,234.656,234.569,234.742,13.08362,80.28252,7,Chennai
,IN-V2-164,metro.in,180.87.36.139,229.282,229.282,229.282,13.08362,80.28252,8,Chennai
,IN-V2-134,metro.in,192.168.1.1,0.567,0.543,0.592,12.8630352,77.4379779,1,Bengaluru
,IN-V2-134,metro.in,223.178.56.1,6.636,4.288,8.983,12.97354,77.59034,2,Bangalore
,IN-V2-134,metro.in,122.187.95.101,6.04,5.456,6.625,12.9716,77.59456,3,Bangalore
,IN-V2-134,metro.in,116.119.57.43,218.093,212.516,223.671,34.05361,-118.2455,4,Los Angeles
,IN-V2-208,metro.in,192.168.0.1,0.489,0.418,0.56,13.0569467,80.242469,1,Chennai
,IN-V2-208,metro.in,10.209.0.1,1.245,1.149,1.34,null,null,2,null
,IN-V2-208,metro.in,172.31.167.54,1.426,1.423,1.43,null,null,5,null
,IN-V2-208,metro.in,14.141.123.226,3.157,1.475,4.84,13.0843,80.27046,6,Chennai
,IN-V2-208,metro.in,180.87.37.33,1.935,1.626,2.244,13.08362,80.28252,7,Chennai
,IN-V2-208,metro.in,180.87.36.5,208.326,208.292,208.361,13.08362,80.28252,8,Chennai
,IN-V2-208,metro.in,180.87.36.41,214.247,214.247,214.247,1.29041,103.85211,10,Singapore
,IN-V2-208,metro.in,180.87.151.46,202.963,202.963,202.963,35.6074,140.13437,12,Chiba
,IN-28,sbi.co.in,192.168.0.1,0.903,0.592,1.215,13.0826802,80.2707184,1,Chennai
,IN-28,sbi.co.in,203.129.222.145,11.891,11.843,11.939,13.0843,80.27046,2,Chennai
,IN-28,sbi.co.in,203.193.158.20,23.226,22.983,23.468,13.0843,80.27046,3,Chennai
,IN-28,sbi.co.in,59.160.150.5,27.116,26.097,28.134,23.01101,72.50292,4,Ahmedabad
,IN-28,sbi.co.in,172.31.167.45,25.091,23.391,26.791,null,null,5,null
,IN-28,sbi.co.in,115.114.26.242,27.902,27.478,28.326,13.08362,80.28252,7,Chennai
,IN-39,sbi.co.in,192.168.5.100,1.022,0.968,1.076,11.9415915,79.8083133,1,Puducherry
,IN-39,sbi.co.in,203.193.135.2,1.358,1.224,1.492,21.1458,79.08816,2,Nagpur
,IN-39,sbi.co.in,136.232.208.209,9.515,9.425,9.605,13.0843,80.27046,3,Chennai
,IN-39,sbi.co.in,172.16.5.182,9.599,9.266,9.931,null,null,4,null
,IN-39,sbi.co.in,172.16.5.182,9.161,9.005,9.316,null,null,5,null
,IN-39,sbi.co.in,49.44.187.171,9.273,9.219,9.328,13.08362,80.28252,6,Chennai
,IN-31,sbi.co.in,192.168.0.2,0.662,0.639,0.684,11.07779105,76.98987909,1,Coimbatore
,IN-31,sbi.co.in,203.129.254.17,0.948,0.886,1.01,11.01685,76.95583,2,Coimbatore
,IN-31,sbi.co.in,59.144.62.33,2.733,2.658,2.807,8.52414,76.93664,3,Thiruvananthapuram
,IN-31,sbi.co.in,116.119.72.22,3.407,3.353,3.46,28.54279,77.27675,4,Delhi
,IN-31,sbi.co.in,116.119.72.22,3.089,3.037,3.142,28.54279,77.27675,5,Delhi
,IN-31,sbi.co.in,116.119.36.61,13.711,13.618,13.804,13.08362,80.28252,6,Chennai
,IN-31,sbi.co.in,182.79.245.225,17.195,17.128,17.262,13.08362,80.28252,7,Chennai
,IN-V2-198,sbi.co.in,192.168.1.1,0.503,0.437,0.568,13.02136804,77.75943871,1,Bengaluru
,IN-V2-198,sbi.co.in,10.240.9.208,6.238,4.627,7.849,null,null,2,null
,IN-V2-198,sbi.co.in,125.18.215.61,5.074,4.322,5.826,12.9716,77.59456,4,Bangalore
,IN-V2-198,sbi.co.in,116.119.61.127,10.48,9.422,11.539,13.08362,80.28252,5,Chennai
,IN-V2-198,sbi.co.in,182.79.245.225,9.657,9.497,9.818,13.08362,80.28252,6,Chennai
,IN-V2-249,sbi.co.in,10.100.100.100,0.96,0.907,1.014,12.929649,77.622468,1,Bengaluru
,IN-V2-249,sbi.co.in,103.176.234.97,3.454,2.748,4.16,12.98498,77.588,3,Bangalore
,IN-V2-249,sbi.co.in,103.77.109.140,16.606,16.561,16.651,19.14045,72.88234,4,Mumbai
,IN-V2-164,sbi.co.in,192.168.9.254,0.233,0.226,0.24,8.5241391,76.9366376,1,Thiruvananthapuram
,IN-V2-164,sbi.co.in,103.121.26.101,0.547,0.512,0.582,8.52414,76.93664,2,Thiruvananthapuram
,IN-V2-164,sbi.co.in,121.244.53.25,1.639,1.615,1.662,9.93096,76.30028,3,Ernakulam
,IN-V2-164,sbi.co.in,115.114.26.242,21.774,21.63,21.919,13.08362,80.28252,5,Chennai
,IN-V2-134,sbi.co.in,192.168.1.1,0.805,0.776,0.833,12.8630352,77.4379779,1,Bengaluru
,IN-V2-134,sbi.co.in,223.178.56.1,4.708,3.863,5.553,12.97354,77.59034,2,Bangalore
,IN-V2-134,sbi.co.in,122.187.95.101,9.04,7.691,10.389,12.9716,77.59456,3,Bangalore
,IN-V2-134,sbi.co.in,182.79.245.225,9.857,9.264,10.451,13.08362,80.28252,5,Chennai
,IN-V2-208,sbi.co.in,192.168.0.1,0.424,0.423,0.424,13.0569467,80.242469,1,Chennai
,IN-V2-208,sbi.co.in,115.114.26.242,2.563,2.447,2.679,13.08362,80.28252,5,Chennai
,IN-28,uidai.gov.in,192.168.0.1,0.55,0.503,0.597,13.0826802,80.2707184,1,Chennai
,IN-28,uidai.gov.in,203.129.222.145,12.861,11.991,13.731,13.0843,80.27046,2,Chennai
,IN-28,uidai.gov.in,203.193.158.20,23.802,23.763,23.841,13.0843,80.27046,3,Chennai
,IN-28,uidai.gov.in,59.160.150.5,28.579,27.86,29.298,23.01101,72.50292,4,Ahmedabad
,IN-28,uidai.gov.in,172.31.244.46,34.109,33.819,34.4,null,null,5,null
,IN-28,uidai.gov.in,59.160.204.110,34.96,34.677,35.244,12.9716,77.59456,6,Bangalore
,IN-39,uidai.gov.in,192.168.5.100,1.022,0.959,1.084,11.9415915,79.8083133,1,Puducherry
,IN-39,uidai.gov.in,203.193.135.2,1.539,1.475,1.603,21.1458,79.08816,2,Nagpur
,IN-39,uidai.gov.in,136.232.208.209,9.342,8.41,10.275,13.0843,80.27046,3,Chennai
,IN-39,uidai.gov.in,115.112.8.49,7.71,7.624,7.796,13.08362,80.28252,4,Chennai
,IN-39,uidai.gov.in,59.160.204.110,15.4,13.687,17.113,12.9716,77.59456,6,Bangalore
,IN-31,uidai.gov.in,192.168.0.2,0.674,0.654,0.693,11.07779105,76.98987909,1,Coimbatore
,IN-31,uidai.gov.in,203.129.254.17,2.367,0.908,3.825,11.01685,76.95583,2,Coimbatore
,IN-31,uidai.gov.in,121.241.155.113,1.553,1.218,1.888,23.01101,72.50292,3,Ahmedabad
,IN-31,uidai.gov.in,172.21.58.213,7.173,7.147,7.199,null,null,4,null
,IN-31,uidai.gov.in,59.160.204.110,8.109,8.097,8.121,12.9716,77.59456,5,Bangalore
,IN-V2-198,uidai.gov.in,192.168.1.1,0.489,0.416,0.562,13.02136804,77.75943871,1,Bengaluru
,IN-V2-198,uidai.gov.in,10.240.9.208,5.816,5.476,6.155,null,null,2,null
,IN-V2-198,uidai.gov.in,125.18.215.61,4.292,3.1,5.484,12.9716,77.59456,4,Bangalore
,IN-V2-198,uidai.gov.in,182.79.153.0,10.619,5.571,15.666,28.49446,77.08408,5,Gurugram
,IN-V2-198,uidai.gov.in,59.144.94.26,5.023,4.803,5.243,12.94027,77.68948,6,Bangalore
,IN-V2-249,uidai.gov.in,10.100.100.100,0.936,0.921,0.951,12.929649,77.622468,1,Bengaluru
,IN-V2-249,uidai.gov.in,192.168.1.1,1.556,1.429,1.682,null,null,2,null
,IN-V2-249,uidai.gov.in,103.176.234.97,2.82,2.586,3.054,12.98498,77.588,3,Bangalore
